symbol,threshold,use_rsi_filter,use_volume_filter,use_trend_filter,total_return_pct,sharpe,max_drawdown,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,expectancy_pct,wf_windows_total,wf_windows_with_trades,wf_positive_pct,wf_sharpe_positive_pct,wf_pf_above_1_pct,wf_avg_return_pct,wf_avg_sharpe,wf_avg_pf,wf_avg_max_dd_pct,wf_total_trades,score
ADA/USDT,0.04,False,False,True,2.29,0.36,-0.0493,-4.93,58.93,1.22,112,0.2466,3,3,66.67,66.67,66.67,0.753,0.587,1.46,-2.653,69,50.35
ADA/USDT,0.04,False,False,False,-1.66,-0.06,-0.1698,-16.98,57.6,1.06,375,0.0837,3,3,66.67,66.67,66.67,1.953,1.093,1.48,-4.747,152,49.12
ADA/USDT,0.05,False,False,False,-3.6,-0.25,-0.156,-15.6,57.95,1.02,283,0.0345,3,3,66.67,66.67,66.67,1.683,0.937,1.49,-4.613,116,48.06
ADA/USDT,0.06,False,False,False,-0.59,-0.01,-0.1227,-12.27,59.91,1.07,212,0.0953,3,3,66.67,66.67,66.67,1.443,0.963,1.463,-3.523,89,47.01
ADA/USDT,0.04,False,True,False,-5.97,-0.44,-0.1867,-18.67,56.93,0.99,332,-0.0168,3,3,66.67,66.67,66.67,1.053,0.69,1.363,-4.797,133,45.73
ADA/USDT,0.04,False,True,True,-0.75,-0.11,-0.054,-5.4,55.0,1.04,80,0.0553,3,3,66.67,66.67,66.67,0.257,0.253,1.407,-2.397,52,45.06
ADA/USDT,0.05,False,True,False,-3.99,-0.34,-0.1609,-16.09,59.2,1.02,250,0.0239,3,3,66.67,66.67,66.67,0.77,0.59,1.34,-4.52,100,44.42
ADA/USDT,0.05,False,False,True,-0.57,-0.07,-0.0539,-5.39,55.22,1.02,67,0.0255,3,3,66.67,66.67,66.67,0.223,-0.133,1.297,-2.193,41,42.65
ADA/USDT,0.05,True,False,False,-4.62,-0.39,-0.1325,-13.25,57.5,0.98,240,-0.0366,3,3,66.67,66.67,66.67,0.243,0.257,1.207,-4.593,97,42.16
ADA/USDT,0.06,True,False,False,-2.99,-0.28,-0.1258,-12.58,59.04,0.99,188,-0.0189,3,3,66.67,66.67,66.67,0.47,0.377,1.217,-3.287,77,41.63
ADA/USDT,0.06,False,True,False,-2.56,-0.25,-0.1205,-12.05,59.67,1.0,181,0.0038,3,3,66.67,66.67,66.67,0.273,0.173,1.167,-3.583,75,40.61
ADA/USDT,0.05,True,True,False,-5.31,-0.51,-0.1211,-12.11,58.22,0.96,213,-0.0686,3,3,66.67,66.67,66.67,-0.52,-0.243,1.073,-4.58,83,39.26
ADA/USDT,0.06,True,True,False,-5.62,-0.64,-0.1099,-10.99,57.14,0.89,161,-0.184,3,3,66.67,66.67,66.67,-0.64,-0.583,0.95,-3.623,63,37.15
ADA/USDT,0.05,True,False,True,-0.35,-0.06,-0.0399,-3.99,56.0,1.03,50,0.0365,3,3,66.67,66.67,66.67,-0.363,-0.457,1.013,-2.073,30,36.96
ADA/USDT,0.07,False,False,False,-7.49,-0.87,-0.1214,-12.14,55.03,0.83,149,-0.2802,3,3,66.67,66.67,66.67,-0.453,-0.363,0.963,-3.973,59,36.72
ADA/USDT,0.04,True,False,True,3.28,0.58,-0.0422,-4.22,59.04,1.39,83,0.4075,3,3,33.33,33.33,33.33,0.1,0.243,1.29,-2.683,52,35.47
ADA/USDT,0.08,False,False,False,-3.02,-0.39,-0.0999,-9.99,60.0,0.96,110,-0.0654,3,3,33.33,33.33,66.67,0.753,0.693,1.403,-2.91,45,31.23
ADA/USDT,0.04,True,False,False,-3.06,-0.19,-0.1336,-13.36,56.59,1.03,311,0.0355,3,3,33.33,33.33,66.67,0.003,0.177,1.227,-5.333,128,30.38
ADA/USDT,0.08,False,True,False,-3.59,-0.51,-0.0994,-9.94,58.33,0.89,96,-0.1879,3,3,33.33,33.33,66.67,0.387,0.413,1.207,-2.967,41,27.08
ADA/USDT,0.08,True,False,False,-4.37,-0.62,-0.0974,-9.74,57.84,0.87,102,-0.2135,3,3,33.33,33.33,33.33,0.237,0.273,1.163,-2.793,40,26.34
ADA/USDT,0.04,True,True,False,-8.96,-0.76,-0.1546,-15.46,54.51,0.9,277,-0.1499,3,3,33.33,33.33,33.33,-1.237,-0.61,1.033,-5.533,111,25.52
ADA/USDT,0.04,True,True,True,-1.63,-0.32,-0.0437,-4.37,50.85,0.92,59,-0.1049,3,3,33.33,33.33,66.67,-0.6,-0.55,0.973,-2.447,39,23.44
ADA/USDT,0.07,True,False,False,-7.13,-0.87,-0.1162,-11.62,55.07,0.83,138,-0.296,3,3,33.33,33.33,33.33,-0.853,-0.743,0.86,-3.723,53,23.31
ADA/USDT,0.08,True,True,False,-6.84,-1.07,-0.0985,-9.85,53.49,0.71,86,-0.5469,3,3,33.33,33.33,33.33,-0.387,-0.35,0.863,-2.85,34,22.8
ADA/USDT,0.07,False,True,False,-8.4,-1.09,-0.1353,-13.53,55.12,0.77,127,-0.4107,3,3,33.33,33.33,33.33,-0.907,-0.76,0.85,-3.843,51,22.74
ADA/USDT,0.07,True,True,False,-10.45,-1.47,-0.1324,-13.24,52.17,0.67,115,-0.6418,3,3,33.33,33.33,33.33,-1.393,-1.31,0.707,-3.72,44,22.6
ADA/USDT,0.08,False,True,True,0.2,0.09,-0.0272,-2.72,66.67,1.12,12,0.1526,3,3,66.67,66.67,0.0,-0.15,0.85,0.033,-1.123,9,-1.0
ADA/USDT,0.08,True,False,True,-0.05,-0.0,-0.0253,-2.53,66.67,1.07,15,0.0935,3,3,66.67,66.67,0.0,-0.09,0.497,0.037,-1.113,10,-1.0
ADA/USDT,0.08,True,True,True,-0.51,-0.19,-0.0272,-2.72,60.0,0.75,10,-0.3968,3,3,66.67,66.67,0.0,-0.27,0.62,0.033,-1.123,8,-1.0
ADA/USDT,0.08,False,False,True,-0.77,-0.24,-0.0282,-2.82,62.5,0.85,16,-0.2311,3,3,66.67,66.67,0.0,-0.09,0.497,0.037,-1.113,10,-1.0
ADA/USDT,0.06,False,False,True,0.7,0.19,-0.0317,-3.17,60.0,1.15,35,0.1742,3,3,33.33,33.33,33.33,0.31,0.257,1.917,-1.393,20,-1.0
ADA/USDT,0.06,True,False,True,0.43,0.13,-0.0333,-3.33,60.71,1.17,28,0.196,3,3,33.33,33.33,0.0,-0.06,0.2,0.237,-1.11,14,-1.0
ADA/USDT,0.06,False,True,True,-0.13,-0.02,-0.0311,-3.11,57.69,1.08,26,0.0953,3,3,33.33,33.33,33.33,-0.09,-0.103,1.68,-1.337,16,-1.0
ADA/USDT,0.06,True,True,True,-0.66,-0.19,-0.0324,-3.24,55.0,0.88,20,-0.1617,3,3,33.33,33.33,0.0,-0.15,0.247,0.19,-1.153,12,-1.0
ADA/USDT,0.07,True,False,True,-0.72,-0.2,-0.0363,-3.63,58.33,0.91,24,-0.1108,3,3,33.33,33.33,0.0,-0.323,-0.2,0.187,-1.26,12,-1.0
ADA/USDT,0.07,False,True,True,-1.28,-0.38,-0.0356,-3.56,52.63,0.8,19,-0.3096,3,3,33.33,33.33,33.33,-0.443,-0.44,1.843,-1.31,12,-1.0
ADA/USDT,0.07,True,True,True,-1.54,-0.5,-0.0356,-3.56,50.0,0.65,16,-0.5895,3,3,33.33,33.33,0.0,-0.43,-0.223,0.127,-1.287,10,-1.0
ADA/USDT,0.05,False,True,True,-2.72,-0.59,-0.0515,-5.15,52.08,0.82,48,-0.2842,3,3,33.33,33.33,66.67,-0.607,-0.927,0.917,-2.143,30,-1.0
ADA/USDT,0.07,False,False,True,-2.53,-0.7,-0.0431,-4.31,50.0,0.58,26,-0.6927,3,3,33.33,33.33,33.33,-0.43,-0.513,1.543,-1.403,13,-1.0
ADA/USDT,0.05,True,True,True,-3.21,-0.85,-0.0475,-4.75,48.57,0.67,35,-0.5705,3,3,33.33,33.33,33.33,-0.927,-1.243,0.737,-1.99,22,-1.0
